Date,Open,High,Low,Close,Adj Close,Volume
2015-04-28,452.695007,452.695007,448.138000,451.541992,407.297668,1053
2015-04-29,456.139008,457.998993,443.019989,445.000000,401.396729,1041
2015-04-30,453.916992,453.916992,448.500000,450.972992,406.784393,499
2015-05-04,456.998993,458.807007,453.829010,457.766998,412.912689,527
2015-05-05,453.001007,461.515015,453.001007,458.858002,413.896820,1253
2015-05-06,438.363007,438.700012,429.697998,429.697998,387.594055,1030
2015-05-07,427.140015,432.000000,420.804993,432.000000,389.670532,1588
2015-05-08,426.556000,428.899994,419.010010,428.899994,386.874237,1443
2015-05-11,426.575012,426.575012,420.098999,421.035004,379.779938,730
2015-05-12,419.970001,419.989014,413.615997,413.717010,373.178955,906
2015-05-13,412.588013,416.737000,411.972992,416.000000,375.238251,1816
2015-05-14,418.973999,423.369995,418.973999,423.369995,381.886108,228
2015-05-15,421.128998,423.373993,420.700989,421.601013,380.290466,282
2015-05-18,417.000000,420.498993,417.000000,420.498993,379.296417,179
2015-05-19,423.876007,430.743011,423.876007,429.937012,387.809631,520
2015-05-20,436.614014,438.000000,435.169006,438.000000,395.082611,217
2015-05-21,435.963989,437.726013,434.722992,437.647003,394.764221,249
2015-05-22,438.259003,441.528015,436.338989,441.528015,398.264923,605
2015-05-25,441.528015,441.528015,441.528015,441.528015,398.264923,0
2015-05-26,452.752991,453.783997,450.466003,450.829010,406.654510,111
2015-05-27,440.239990,440.260010,440.018005,440.220001,397.085114,55
2015-05-28,440.651001,442.450012,437.821014,440.904999,397.702972,85
2015-05-29,441.634003,443.101990,431.500000,437.239990,394.397095,1136
2015-06-01,434.954987,434.954987,432.687012,434.908997,392.294495,437
2015-06-02,430.489014,430.489014,417.588013,420.778015,379.548096,924
2015-06-03,416.592987,421.000000,416.049988,416.049988,375.283325,996
2015-06-04,419.717987,423.589996,419.221008,423.589996,382.084534,180
2015-06-05,421.928009,423.856995,420.200012,423.397003,381.910431,254
2015-06-08,416.000000,416.000000,406.000000,406.000000,366.218109,1961
2015-06-09,395.359985,395.359985,391.546997,394.463013,355.811584,1543
2015-06-10,392.683990,394.683990,392.000000,393.910004,355.312744,721
2015-06-11,393.368011,393.368011,391.000000,392.071991,353.654785,448
2015-06-12,399.256989,399.256989,393.696014,393.696014,355.119720,214
2015-06-15,398.453003,398.453003,393.226013,397.164001,358.247894,154
2015-06-16,395.627991,397.082001,392.071014,397.082001,358.173920,508
2015-06-17,404.001007,404.135986,400.368011,400.368011,361.138000,962
2015-06-18,399.770996,401.998993,397.140991,400.164001,360.953949,175
